id	layer	check	verdict	subject	evidence	autofix	action
C1-9c49cf	conservation	C1	IDENTISCH	613 source artefacts	all present in fsh-generated, matched by id or canonical url (source: fsh-generated/resources)	-	-
C2-0d8396	conservation	C2	IDENTISCH	output/de (613 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C2-85f0f2	conservation	C2	IDENTISCH	output/en (613 artefacts)	every generated resource is rendered and listed in artifacts.html	-	-
C3-2e311d	conservation	C3	IDENTISCH	index.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-d657a5	conservation	C3	IDENTISCH	Abweichungen-zum-oBDS.page.md	migrated -> input/pagecontent/guidance.md (input/pagecontent/guidance.md)	-	-
C3-2e4ab3	conservation	C3	IDENTISCH	BeschreibungvonSzenarienfrdieAnwendungderModule.page.md	migrated -> input/pagecontent/guidance.md (input/pagecontent/guidance.md)	-	-
C3-26ba62	conservation	C3	IDENTISCH	Datenstzeinkl.Beschreibungen.page.md	migrated -> input/pagecontent/datasets-and-descriptions.md (input/pagecontent/datasets-and-descriptions.md)	-	-
C3-d2d566	conservation	C3	IDENTISCH	AnwendungsflleInformationsmodell/Index.page.md	migrated -> input/pagecontent/anwendungsfaelle-informationsmodell.md (input/pagecontent/anwendungsfaelle-informationsmodell.md)	-	-
C3-fcd593	conservation	C3	IDENTISCH	UML.page.md	migrated -> input/pagecontent/uml-diagrams.md (input/pagecontent/uml-diagrams.md)	-	-
C3-3ba719	conservation	C3	IDENTISCH	BeschreibungModulOnko.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-1f5cc2	conservation	C3	IDENTISCH	BezugZuInternationalenStandards.page.md	migrated -> input/pagecontent/guidance.md (input/pagecontent/guidance.md)	-	-
C3-a84a2f	conservation	C3	IDENTISCH	BezugZuNationalenStandards.page.md	migrated -> input/pagecontent/guidance.md (input/pagecontent/guidance.md)	-	-
C3-8f6844	conservation	C3	IDENTISCH	MIIIGModulOnkologie/Index.page.md	migrated -> input/pagecontent/index.md (input/pagecontent/index.md)	-	-
C3-5b105d	conservation	C3	IDENTISCH	KDL-Dokumentklassen.page.md	migrated -> input/intro-notes/ValueSet-mii-vs-onko-kdl-dokumentklassen-intro.md (input/intro-notes/ValueSet-mii-vs-onko-kdl-dokumentklassen-intro.md)	-	-
C3-c7063c	conservation	C3	IDENTISCH	KontextimGesamtprojektBezgezuanderenModulen.page.md	migrated -> input/pagecontent/implementer-guidance.md (input/pagecontent/implementer-guidance.md)	-	-
C3-b75bba	conservation	C3	IDENTISCH	Referenzen.page.md	migrated -> input/pagecontent/implementer-guidance.md (input/pagecontent/implementer-guidance.md)	-	-
C3-126e79	conservation	C3	IDENTISCH	Release-Notes.page.md	migrated -> input/pagecontent/changes.md (input/pagecontent/changes.md)	-	-
C3-8d3c6c	conservation	C3	IDENTISCH	Biomarker-Tumormarker-LOINC.page.md	migrated -> input/pagecontent/tumormarker-loinc.md (input/pagecontent/tumormarker-loinc.md)	-	-
C3-32eff4	conservation	C3	IDENTISCH	CapabilityStatement.page.md	migrated -> input/pagecontent/capability-statements.md (input/pagecontent/capability-statements.md)	-	-
C3-982ddc	conservation	C3	IDENTISCH	ASA-Klassifikation-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-asa-klassifikation-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-asa-klassifikation-intro.md)	-	-
C3-79ef06	conservation	C3	IDENTISCH	Allgemeiner-Leistungszustand-ECOG-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-allgemeiner-leistungszustand-ecog-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-allgemeiner-leistungszustand-ecog-intro.md)	-	-
C3-184273	conservation	C3	IDENTISCH	Allgemeiner-Leistungszustand-Karnofsky-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-allgemeiner-leistungszustand-karnofsky-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-allgemeiner-leistungszustand-karnofsky-intro.md)	-	-
C3-538004	conservation	C3	IDENTISCH	Allgemeiner-Leistungszustand/Index.page.md	retired: Quellseite absichtlich leer / nur Navigation — kein Inhalt (human-reviewed)	-	-
C3-3ed727	conservation	C3	IDENTISCH	Diagnose-Condition.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-diagnose-primaertumor-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-diagnose-primaertumor-intro.md)	-	-
C3-ac629e	conservation	C3	IDENTISCH	Erstdiagnose-Evidenz-List.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-liste-evidenz-erstdiagnose-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-liste-evidenz-erstdiagnose-intro.md)	-	-
C3-2a62bc	conservation	C3	IDENTISCH	Extension-ICD-O-3-Morphologie.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-onko-histology-morphology-behavior-icdo3-intro.md (input/intro-notes/StructureDefinition-mii-ex-onko-histology-morphology-behavior-icdo3-intro.md)	-	-
C3-3e620c	conservation	C3	IDENTISCH	Fruehere-Tumorerkrankung-Condition.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-fruehere-tumorerkrankung-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-fruehere-tumorerkrankung-intro.md)	-	-
C3-9c8723	conservation	C3	IDENTISCH	Diagnose/Index.page.md	retired: Quellseite absichtlich leer / nur Navigation — kein Inhalt (human-reviewed)	-	-
C3-39d555	conservation	C3	IDENTISCH	FHIR-Profil--Ressourcentyp.page.md	retired: leeres Gerüst (Stichpunkt-Skelett ohne Inhalt) — nichts zu migrieren (human-reviewed)	-	-
C3-4c9e83	conservation	C3	IDENTISCH	Fernmetastasen-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-fernmetastasen-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-fernmetastasen-intro.md)	-	-
C3-4e242d	conservation	C3	IDENTISCH	Fernmetastasen-Observation/Index.page.md	retired: Quellseite absichtlich leer / nur Navigation — kein Inhalt (human-reviewed)	-	-
C3-7ae1f1	conservation	C3	IDENTISCH	Genetische-Variante-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-genetische-variante-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-genetische-variante-intro.md)	-	-
C3-e27bca	conservation	C3	IDENTISCH	Genetische-Variante/Index.page.md	retired: Quellseite absichtlich leer / nur Navigation — kein Inhalt (human-reviewed)	-	-
C3-88e4b4	conservation	C3	IDENTISCH	MolGen-Abbildung-Variantentypen.page.md	migrated -> input/pagecontent/molgen-variantentypen.md (input/pagecontent/molgen-variantentypen.md)	-	-
C3-c0cb1e	conservation	C3	IDENTISCH	Grading-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-grading-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-grading-intro.md)	-	-
C3-0a9eff	conservation	C3	IDENTISCH	Histologiebefund-DiagnosticReport.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-befund-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-befund-intro.md)	-	-
C3-2f1aea	conservation	C3	IDENTISCH	Histologie/Index.page.md	retired: Quellseite absichtlich leer / nur Navigation — kein Inhalt (human-reviewed)	-	-
C3-8c3d68	conservation	C3	IDENTISCH	Lymphknotenuntersuchung-Observation.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-d33c1a	conservation	C3	IDENTISCH	Specimen-Specimen.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-specimen-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-specimen-intro.md)	-	-
C3-3f21fc	conservation	C3	IDENTISCH	Tumorgroesse-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-tumorgroesse-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-tumorgroesse-intro.md)	-	-
C3-dfc54b	conservation	C3	IDENTISCH	Verlaufshistologie-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-histologie-icdo3-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-histologie-icdo3-intro.md)	-	-
C3-880292	conservation	C3	IDENTISCH	FHIR-Profile/Index.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-d29f67	conservation	C3	IDENTISCH	Nebenwirkung/Index.page.md	retired: Quellseite absichtlich leer / nur Navigation — kein Inhalt (human-reviewed)	-	-
C3-bfedf3	conservation	C3	IDENTISCH	Nebenwirkung-AdverseEvent.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-nebenwirkung-adverse-event-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-nebenwirkung-adverse-event-intro.md)	-	-
C3-ed8c84	conservation	C3	IDENTISCH	Operation/Extension-Intention.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-onko-operation-intention-intro.md (input/intro-notes/StructureDefinition-mii-ex-onko-operation-intention-intro.md)	-	-
C3-48e299	conservation	C3	IDENTISCH	Extension-Urgency.page.md	migrated -> input/intro-notes/StructureDefinition-mii-ex-onko-operation-urgency-intro.md (input/intro-notes/StructureDefinition-mii-ex-onko-operation-urgency-intro.md)	-	-
C3-3bf911	conservation	C3	IDENTISCH	Operation/Index.page.md	retired: Quellseite absichtlich leer / nur Navigation — kein Inhalt (human-reviewed)	-	-
C3-75a584	conservation	C3	IDENTISCH	Operation-Procedure.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-operation-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-operation-intro.md)	-	-
C3-50a8f0	conservation	C3	IDENTISCH	Organspezifische-Module/Index.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-dedf11	conservation	C3	IDENTISCH	KolorektalesKarzinom/Index.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-59cc92	conservation	C3	IDENTISCH	KRK-Abstand-Circumferelle-Resektionsebene-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-krk-abstand-circumferelle-resektionsebene-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-krk-abstand-circumferelle-resektionsebene-intro.md)	-	-
C3-74e3b1	conservation	C3	IDENTISCH	KRK-Abstand-Resektionsrand-Aboral-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-krk-abstand-aboral-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-krk-abstand-aboral-intro.md)	-	-
C3-a66c44	conservation	C3	IDENTISCH	KRK-Abstand-Tumor-Anokutanlinie-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-krk-abstand-anokutan-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-krk-abstand-anokutan-intro.md)	-	-
C3-6fbcdf	conservation	C3	IDENTISCH	KRK-Anastomoseninsuffizienz-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-krk-anastomoseninsuffizienz-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-krk-anastomoseninsuffizienz-intro.md)	-	-
C3-a44dd1	conservation	C3	IDENTISCH	KRK-Bundle-Example.page.md	migrated -> input/intro-notes/Bundle-mii-exa-onko-krk-bundle-intro.md (input/intro-notes/Bundle-mii-exa-onko-krk-bundle-intro.md)	-	-
C3-e5fc61	conservation	C3	IDENTISCH	KRK-MRT-Mesorektale-Faszie-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-krk-mrt-mesorektale-faszie-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-krk-mrt-mesorektale-faszie-intro.md)	-	-
C3-4be494	conservation	C3	IDENTISCH	KRK-Operation-Procedure.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-krk-operation-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-krk-operation-intro.md)	-	-
C3-3c4930	conservation	C3	IDENTISCH	KRK-Specimen.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-krk-specimen-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-krk-specimen-intro.md)	-	-
C3-55efb8	conservation	C3	IDENTISCH	KRK-Stoma-Markierung-Procedure.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-krk-stoma-markierung-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-krk-stoma-markierung-intro.md)	-	-
C3-e4c2c1	conservation	C3	IDENTISCH	MalignesMelanom/Index.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-a8de98	conservation	C3	IDENTISCH	Melanom-Breslow-Tiefe-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-melanom-breslow-tiefe-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-melanom-breslow-tiefe-intro.md)	-	-
C3-c0e2bd	conservation	C3	IDENTISCH	Melanom-Bundle-Example.page.md	migrated -> input/intro-notes/Bundle-mii-exa-onko-melanom-bundle-intro.md (input/intro-notes/Bundle-mii-exa-onko-melanom-bundle-intro.md)	-	-
C3-d85c06	conservation	C3	IDENTISCH	Melanom-LDH-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-melanom-ldh-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-melanom-ldh-intro.md)	-	-
C3-96dea0	conservation	C3	IDENTISCH	Melanom-Sicherheitsabstand-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-melanom-sicherheitsabstand-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-melanom-sicherheitsabstand-intro.md)	-	-
C3-323d64	conservation	C3	IDENTISCH	Melanom-Ulzeration-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-melanom-ulzeration-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-melanom-ulzeration-intro.md)	-	-
C3-4fb55a	conservation	C3	IDENTISCH	Mamma/Index.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-abf973	conservation	C3	IDENTISCH	Mamma-Bundle-Example.page.md	migrated -> input/intro-notes/Bundle-mii-exa-onko-mamma-example-bundle-1-intro.md (input/intro-notes/Bundle-mii-exa-onko-mamma-example-bundle-1-intro.md)	-	-
C3-95727a	conservation	C3	IDENTISCH	Mamma-Estrogen-Rezeptorstatus-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-mamma-rezeptorstatus-estrogen-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-mamma-rezeptorstatus-estrogen-intro.md)	-	-
C3-533eae	conservation	C3	IDENTISCH	Mamma-Her2neu-Status-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-mamma-her2neu-status-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-mamma-her2neu-status-intro.md)	-	-
C3-372369	conservation	C3	IDENTISCH	Mamma-Menopause-Status-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-mamma-menopause-status-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-mamma-menopause-status-intro.md)	-	-
C3-49d52d	conservation	C3	IDENTISCH	Mamma-Operation-Procedure.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-mamma-operation-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-mamma-operation-intro.md)	-	-
C3-d4b5ed	conservation	C3	IDENTISCH	Mamma-Praeoperative-Markierung-Procedure.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-mamma-praeoperative-markierung-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-mamma-praeoperative-markierung-intro.md)	-	-
C3-45e83c	conservation	C3	IDENTISCH	Mamma-Progesteron-Rezeptorstatus-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-mamma-rezeptorstatus-progesteron-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-mamma-rezeptorstatus-progesteron-intro.md)	-	-
C3-1d33a3	conservation	C3	IDENTISCH	Prostata/Index.page.md	migrated -> input/pagecontent/profiles.md (input/pagecontent/profiles.md)	-	-
C3-95cc4e	conservation	C3	IDENTISCH	Prostata-Anzahl-Positive-Stanzen-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-prostate-anzahl-positive-stanzen-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-prostate-anzahl-positive-stanzen-intro.md)	-	-
C3-00f0f8	conservation	C3	IDENTISCH	Prostata-Anzahl-Stanzen-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-prostate-anzahl-stanzen-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-prostate-anzahl-stanzen-intro.md)	-	-
C3-3dca99	conservation	C3	IDENTISCH	Prostata-Clavien-Dindo-Observation.page.md	migrated -> input/intro-notes/StructureDefinition-mii-pr-onko-prostate-clavien-dindo-intro.md (input/intro-notes/StructureDefinition-mii-pr-onko-prostate-clavien-dindo-intro.md)	-	-
